Team,Name,Position,Height,Birth_Year
POL,Klos,MB,201,1989
POL,Kochanowski,MB,199,1997
POL,Komenda,S,198,1996
POL,Kurek,O,207,1988
POL,Leon,OH,202,1993
POL,Lomacz,S,187,1987
POL,Popiwczak,L,180,1996
POL,Poreba,MB,203,1999
POL,Semeniuk,OH,195,1996
POL,Sliwka,OH,196,1995
POL,Szalpuk,OH,201,1995
POL,Szymura,L,184,1999
POL,Zatorski,L,184,1990
SLO,Bracko,OH,194,2004
SLO,Cebulj,OH,202,1992
SLO,J. Krzic,MB,195,2005
SLO,Kovacic,L,186,1992
SLO,Kozamernik,MB,204,1995
SLO,Krzic,MB,202,2003
SLO,Marovt,OH,192,2005
SLO,Mozic,OH,200,2002
SLO,Mujanovic,O,206,2004
SLO,Pajenk,MB,203,1986
SLO,Planinsic,S,186,1998
SLO,Ropret,S,192,1989
SLO,Stalekar,MB,214,1996
SLO,T. Stern,O,200,1995
SLO,Toman,L,185,1997
SLO,Urnaut,OH,200,1988
SLO,Vincic,S,200,1986
SLO,Z. Stern,OH,193,1994
SRB,Atanasijevic,O,200,1991
SRB,Ivovic,OH,194,1994
SRB,Jovovic,S,197,1992
SRB,Kapur,L,181,1991
SRB,Kovacevic,OH,197,1993
SRB,Krsmanovic,MB,205,1990
SRB,Kujundzic,OH,196,1997
SRB,Luburic,O,202,1993
SRB,Masulovic N.,MB,205,1995
SRB,Masulovic V.,OH,198,2002
SRB,Nedeljkovic,MB,205,1997
SRB,Peric,OH,207,1998
SRB,Podrascanin,MB,204,1987
SRB,Ristic,L,190,2003
SRB,Todorovic,S,190,1998
TUR,A. Lagumdzija,O,211,1999
TUR,Aslan,OH,206,2005
TUR,Aydin,OH,195,1995
TUR,Bayram,OH,194,2002
TUR,Bedirhan,MB,201,1999
TUR,Bostan,S,196,2002
TUR,Done,L,186,1987
TUR,Eksi,S,199,1985
TUR,Gunes,MB,205,1993
TUR,Gurbuz,O,200,2001
TUR,Hatipoglu,L,190,1992
TUR,M. Lagumdzija,OH,207,2001
TUR,Mandiraci,OH,206,2002
TUR,Matic,MB,211,1995
TUR,Savas,MB,205,1995
TUR,Subasi,OH,194,1990
TUR,Yenipazar,S,194,1993
USA,Anderson,O,202,1987
USA,Averill,MB,201,1992
USA,Briggs,L,182,2001
USA,Champlin,OH,187,2001
USA,Christenson,S,198,1993
USA,Dagostino,L,175,1995
USA,Defalco,OH,198,1997
